time,vehicle_id,vehicle_x,vehicle_y,speed,base_station,distance_to_bs,in_coverage,send_latency,return_latency,total_latency,energy,scenario_id,data_size,result_size,deadline,arrival_time,processing_time,waiting_time,node_assigned,status,handover
0,0,1631.551773282332,2371.308247302937,0.0,BS5,955.5062415047096,True,2.4230073170269764,1.1452577074231656,3.5682650244501417,0.7136530048900284,1,1200,220,6.8928429525952915,0,3.5682650244501417,0,BS5_Node_0,assigned,False
1,0,1630.6899856949092,2369.1325868363283,2.3400352335069328,BS5,954.6785271057124,True,2.487348475848003,1.1752875054909548,3.662635981338958,0.7325271962677916,1,1200,220,6.347755330517664,1,3.662635981338958,0,BS5_Node_1,assigned,False
1,1,640.93,5321.68,0.0,BS2,847.1956870168784,True,3.3553739549650565,1.131880449009958,4.487254403975014,0.8974508807950029,6,2500,350,6.930643573562959,1,4.487254403975014,0,BS2_Node_0,assigned,False
1,2,1583.19,2989.45,0.0,BS10,445.64654065750375,True,3.7533001376258897,0.8155884231918362,4.568888560817726,0.9137777121635452,9,3500,450,8.599537751118092,1,4.568888560817726,0,BS10_Node_0,assigned,False
1,3,2897.3432930513595,4877.4148942598185,0.0,BS8,231.89234606428232,True,3.178844328160448,0.5743527983784751,3.753197126538923,0.7506394253077846,8,3000,400,7.112762832922651,1,3.753197126538923,0,BS8_Node_0,assigned,False
2,0,1629.297327227847,2365.6166949686635,3.7815233460394664,BS5,953.351554008179,True,2.3342322907211557,1.1213345198270237,3.4555668105481794,0.6911133621096359,0,1000,200,7.69045759261401,2,3.4555668105481794,0,BS5_Node_2,assigned,False
2,1,640.93,5320.014641767177,1.6653582328232006,BS2,845.9371225114703,True,2.966485072492649,1.1337977761218092,4.100282848614458,0.8200565697228916,4,2000,300,7.3463781804505075,2,4.100282848614458,0,BS2_Node_1,assigned,False
2,2,1583.19,2989.45,0.0,BS10,445.64654065750375,True,1.9486392707212372,0.6395955096817352,2.5882347804029724,0.5176469560805945,1,1200,220,7.375822889915884,2,2.5882347804029724,0,BS10_Node_1,assigned,False
2,3,2896.866497846333,4875.714939608603,1.7635102747473868,BS8,232.93066879851037,True,2.4186434961259486,0.5094172581332013,2.9280607542591497,0.5856121508518299,4,2000,300,8.144912365818803,2,2.9280607542591497,0,BS8_Node_1,assigned,False
2,4,1592.68,4237.6,0.0,BS2,595.4432495208922,True,3.108323269328738,0.8901021635912469,3.998425432919985,0.7996850865839971,6,2500,350,8.514559197977773,2,3.998425432919985,0,BS2_Node_2,assigned,False
2,5,2416.48,7515.56,0.0,BS7,505.22038953312256,True,2.8279556040587988,0.7964489813438688,3.6244045854026674,0.7248809170805335,5,2200,320,6.183297534622649,2,3.6244045854026674,0,BS7_Node_0,assigned,False
